-----------------------------------------------------------------------
 | Scene # | Start Frame |  Start Time  |  End Frame  |   End Time   |
 |    292  |       21911 | 00:12:11.097 |       22005 | 00:12:14.234 |
 |    293  |       22005 | 00:12:14.234 |       22129 | 00:12:18.371 |
 |    294  |       22129 | 00:12:18.371 |       22373 | 00:12:26.512 |
 |    295  |       22373 | 00:12:26.512 |       22686 | 00:12:36.956 |
 |    296  |       22686 | 00:12:36.956 |       22885 | 00:12:43.596 |
 |    297  |       22885 | 00:12:43.596 |       23048 | 00:12:49.035 |
 |    298  |       23048 | 00:12:49.035 |       23152 | 00:12:52.505 |
 |    299  |       23152 | 00:12:52.505 |       23508 | 00:13:04.384 |
 |    300  |       23508 | 00:13:04.384 |       23731 | 00:13:11.824 |
 |    301  |       23731 | 00:13:11.824 |       23811 | 00:13:14.494 |
 |    302  |       23811 | 00:13:14.494 |       23882 | 00:13:16.863 |
 |    303  |       23882 | 00:13:16.863 |       24004 | 00:13:20.933 |
 |    304  |       24004 | 00:13:20.933 |       24252 | 00:13:29.208 |
 |    305  |       24252 | 00:13:29.208 |       24393 | 00:13:33.913 |
 |    306  |       24393 | 00:13:33.913 |       24481 | 00:13:36.849 |
 |    307  |       24481 | 00:13:36.849 |       24660 | 00:13:42.822 |
 |    308  |       24660 | 00:13:42.822 |       24733 | 00:13:45.258 |
 |    309  |       24733 | 00:13:45.258 |       24849 | 00:13:49.128 |
 |    310  |       24849 | 00:13:49.128 |       24951 | 00:13:52.532 |
 |    311  |       24951 | 00:13:52.532 |       25052 | 00:13:55.902 |
 |    312  |       25052 | 00:13:55.902 |       25090 | 00:13:57.170 |
 |    313  |       25090 | 00:13:57.170 |       25167 | 00:13:59.739 |
 |    314  |       25167 | 00:13:59.739 |       25208 | 00:14:01.107 |
 |    315  |       25208 | 00:14:01.107 |       25289 | 00:14:03.810 |
 |    316  |       25289 | 00:14:03.810 |       25316 | 00:14:04.711 |
 |    317  |       25316 | 00:14:04.711 |       25358 | 00:14:06.112 |
 |    318  |       25358 | 00:14:06.112 |       25408 | 00:14:07.780 |
 |    319  |       25408 | 00:14:07.780 |       25520 | 00:14:11.517 |
 |    320  |       25520 | 00:14:11.517 |       25627 | 00:14:15.088 |
 |    321  |       25627 | 00:14:15.088 |       25695 | 00:14:17.356 |
 |    322  |       25695 | 00:14:17.356 |       25770 | 00:14:19.859 |
 |    323  |       25770 | 00:14:19.859 |       25888 | 00:14:23.796 |
 |    324  |       25888 | 00:14:23.796 |       25940 | 00:14:25.531 |
 |    325  |       25940 | 00:14:25.531 |       26021 | 00:14:28.234 |
 |    326  |       26021 | 00:14:28.234 |       26082 | 00:14:30.269 |
 |    327  |       26082 | 00:14:30.269 |       26150 | 00:14:32.538 |
 |    328  |       26150 | 00:14:32.538 |       26228 | 00:14:35.141 |
 |    329  |       26228 | 00:14:35.141 |       26314 | 00:14:38.010 |
 |    330  |       26314 | 00:14:38.010 |       26541 | 00:14:45.585 |
 |    331  |       26541 | 00:14:45.585 |       26564 | 00:14:46.352 |
